약품명,업체명,규격,전문일반구분,특수관리약품구분,ATC코드,품목기준코드,운전위험등급,매칭성분,약물분류
대원가바펜틴캡슐300밀리그람(가바펜틴),대원제약(주),300밀리그램,전문의약품,해당사항없음,,200501589.0,운전위험,가바펜틴,항전간제
대원리스페리돈속붕해정,대원제약(주),2밀리그램,전문의약품,해당사항없음,N05AX08,200808757.0,운전위험,리스페리돈,항정신병제
대원에페리손염산염정,대원제약(주),50밀리그램,전문의약품,해당사항없음,M03BX09,200607915.0,운전위험,에페리손,근육이완제
대원콜콜드연질캡슐,대원제약(주),250밀리그램,일반의약품,해당사항없음,,,운전위험,감기약(복합제),감기약/진해거담제
대화메퀴타진정,대화제약(주),5밀리그램,전문의약품,해당사항없음,,198901557.0,운전위험,메퀴타진,항히스타민제(1세대)
대화카르바마제핀정(수출용),대화제약(주),200밀리그램,전문의약품,해당사항없음,N03AF01,198901578.0,운전위험,카르바마제핀,항전간제
더마쿨크림,(주)한국파마,없음,일반의약품,해당사항없음,,,운전위험,감기약(복합제),감기약/진해거담제
데오쿨외용액(염화알루미늄),조아제약(주),없음,일반의약품,해당사항없음,,,운전위험,감기약(복합제),감기약/진해거담제
데파콘주(발프로산),한국애보트 유한회사,5밀리리터,전문의약품,해당사항없음,N03AG01,200809445.0,운전위험,발프로산,항전간제
데파킨정맥주사(발프로산나트륨),(주)사노피-아벤티스코리아,400밀리그램,전문의약품,해당사항없음,N03AG01,200603916.0,운전위험,발프로산,항전간제
덱스쿨연질캡슐(덱시부프로펜),일양약품(주),300밀리그램,일반의약품,해당사항없음,,,운전위험,감기약(복합제),감기약/진해거담제
덱스트로메토르판복합시럽(코푸시럽에스)(군납용),(주)유한양행,500밀리리터,일반의약품,해당사항없음,R05FA,196900058.0,운전위험,덱스트로메토르판,진해제
덱스트로메토르판복합정100정(코푸정에스)(군납용),(주)유한양행,200밀리그램,일반의약품,해당사항없음,R05FA,200100592.0,운전위험,덱스트로메토르판,진해제
덱시쿨펜연질캡슐(덱시부프로펜),경남제약(주),300밀리그램,일반의약품,해당사항없음,,,운전위험,감기약(복합제),감기약/진해거담제
덴드로프-쿨액(시클로피록스올아민),신신제약(주),없음,일반의약품,해당사항없음,,,운전위험,감기약(복합제),감기약/진해거담제
덴드로프플러스쿨액(케토코나졸),신신제약(주),없음,일반의약품,해당사항없음,,,운전위험,감기약(복합제),감기약/진해거담제
덴티쿨연질캡슐(옥수수불검화정량추출물),영진약품(주),35밀리그램,일반의약품,해당사항없음,,,운전위험,감기약(복합제),감기약/진해거담제
도미디나산(호박산독실아민),(주)삼오제약,없음,일반의약품,해당사항없음,N05CM,200008987.0,운전위험,독실아민,항히스타민제(1세대)
도스프레캡슐150밀리그램(프레가발린),한국노바티스(주),150밀리그램,전문의약품,해당사항없음,N02BF02,201506460.0,운전위험,프레가발린,항전간제
도스프레캡슐300밀리그램(프레가발린),한국노바티스(주),300밀리그램,전문의약품,해당사항없음,N02BF02,201506459.0,운전위험,프레가발린,항전간제
도스프레캡슐75밀리그램(프레가발린),한국노바티스(주),75밀리그램,전문의약품,해당사항없음,N02BF02,201506461.0,운전위험,프레가발린,항전간제
도파로핀정0.25밀리그램(로피니롤염산염),일동제약(주),0.25밀리그램,전문의약품,해당사항없음,N04BC04,200907770.0,운전위험,로피니롤,파킨슨병치료제
도파로핀정0.25밀리그램(로피니롤염산염)(비매품),일동제약(주),0.25밀리그램,전문의약품,해당사항없음,N04BC04,200907770.0,운전위험,로피니롤,파킨슨병치료제
도파로핀정1밀리그램(로피니롤염산염),일동제약(주),1밀리그램,전문의약품,해당사항없음,N04BC04,200907771.0,운전위험,로피니롤,파킨슨병치료제
도파로핀정1밀리그램(로피니롤염산염)(비매품),일동제약(주),1밀리그램,전문의약품,해당사항없음,N04BC04,200907771.0,운전위험,로피니롤,파킨슨병치료제
도파로핀정2밀리그램(로피니롤염산염),일동제약(주),2밀리그램,전문의약품,해당사항없음,N04BC04,200907789.0,운전위험,로피니롤,파킨슨병치료제
도파로핀정2밀리그램(로피니롤염산염)(비매품),일동제약(주),2밀리그램,전문의약품,해당사항없음,N04BC04,200907789.0,운전위험,로피니롤,파킨슨병치료제
도파프로정0.25밀리그램(로피니롤염산염),제일약품(주),0.25밀리그램,전문의약품,해당사항없음,N04BC04,200904629.0,운전위험,로피니롤,파킨슨병치료제
도파프로정1.0밀리그램(로피니롤염산염),제일약품(주),1밀리그램,전문의약품,해당사항없음,N04BC04,200904585.0,운전위험,로피니롤,파킨슨병치료제
도파프로정2.0밀리그램(로피니롤염산염),제일약품(주),2밀리그램,전문의약품,해당사항없음,N04BC04,200803811.0,운전위험,로피니롤,파킨슨병치료제
독세정3밀리그램(독세핀염산염),한미약품(주),3.39밀리그램,전문의약품,해당사항없음,N06AA12,201602091.0,운전위험,독세핀,삼환계항우울제
독세정6밀리그램(독세핀염산염),한미약품(주),6.78밀리그램,전문의약품,해당사항없음,N06AA12,201602081.0,운전위험,독세핀,삼환계항우울제
독시론정(호박산독실아민),(주)넥스팜코리아,25밀리그램,일반의약품,해당사항없음,N05CM,199904747.0,운전위험,독실아민,항히스타민제(1세대)
